hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
08a68ba9d062c0856f1bc9cce7907b11,sgi-difficult4.cnf,sat,sat,2.381,0.044
08b6f45c900d30fb65462a65df69e214,transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,sat,sat,17.53,2000.0
08e151e72fe10402a49463171aa557e8,abw-V-nos6.mtx-w220.cnf,sat,sat,262.497,2000.0
08fd5d81bf1af056edf0f4d1778f0834,AProVE09-03.cnf,sat,sat,2.285,0.304
0900255c001ced2b14a6cadc0403967e,mrpp_8x8#24_14.cnf,sat,sat,5.713,31.982
090f37bba39891c7cf3bed2ace26ca92,rbsat-v945c61409gyes2.cnf,sat,sat,2.467,334.984
0949ba00fc83c074bb2db981a543756f,blocks-blocks-36-0.160-NOTKNOWN.cnf,sat,sat,13.298,2000.0
09637d3bd641b4d733666a862e8918ea,mrpp_8x8#20_14.cnf,sat,sat,5.385,33.9
0973e4a7d566ff12e7316cf0304ac1f4,genurq25Sat.shuffled-as.sat03-1507.cnf,sat,sat,2.283,0.246
09d8544494e54bc756438e69567b4ba7,mp1-klieber2017s-0300-034-t12.cnf,sat,sat,5.781,63.885
09dcc6149a23787a3aa96af8825bda60,test_v7_r7_vr10_c1_s32506.smt2-cvc4.cnf,sat,sat,12.215,466.861
0a015b7f4b4ec96e881f2f5f5e55265c,strips-gripper-18t35.shuffled-as.sat05-1147.cnf,sat,sat,4.308,15.725
0a1043b4f34db8a3de2aef9e4a82a34b,instance_n3_i3_pp.cnf,sat,sat,2.171,0.04
0a4b9ce30540d2103d65e44994d206a5,pyhala-braun-sat-40-4-03.shuffled-as.sat03-1541.cnf,sat,sat,3.279,54.64
0a5afa615f6f27d7ec4d43d3c655a8af,cnt07.shuffled.cnf,sat,sat,2.395,0.088
0a7555a2a68abdd45b80a8db1a919a6a,ferry10_v01a.renamed-as.sat05-3993.cnf,sat,sat,2.597,0.152
0a819f7ad46f70de5a184784da303f5e,VanDerWaerden_pd_2-3-21_399.cnf,sat,sat,2.68,2.792
0a910e1ca5b222324dc3ac8f03d6414d,62bits_11.dimacs.cnf,unknown,sat,610.156,2000.0
0ae917c2e0c1d39cbe411c29b2f5ff08,dislog_a14_x14_n24.cnf,sat,sat,89.448,2000.0
0b0c7b96b04f9fee0120df9eb8add851,shuffling-1-s716603489-of-bench-sat04-317.used-as.sat04-460.cnf,sat,sat,40.533,37.917
0b1041a1e55af6f3d2c63462a7400bd2,fermat-907547022132073.cnf,sat,sat,4.176,68.609
0b13f286a2068bae1cc6034fb38f1503,ndist.b.26986.cnf,sat,sat,2.388,30.475
0b22aa567ddfa8d702378b76167c9195,partial-5-17-s.cnf,sat,sat,11.284,601.931
0b289d226ccc2a1798af1006ae7d9c28,pb_400_09_lb_05.cnf,sat,sat,7.386,137.847
0b2d1228c056ad88a69e5464b0b05669,mrpp_8x8#22_20.cnf,sat,sat,7.59,76.684
0b348eb6b61e4f0026437fda402c9b62,vlsat2_16676_1598591.dimacs.cnf,sat,sat,3.379,16.274
0b4421f6aac81e2dbc87c5b5ddae6511,52bits_12.dimacs.cnf,sat,sat,6.59,2000.0
0b4a57d8dab789e2476be5b1ac680eeb,sat-grid-pbl-0070.sat05-1334.reshuffled-07.cnf,sat,sat,2.274,0.139
0b60f19be0b62cf337d7240821869488,002-80-12.cnf,sat,sat,53.532,188.373
0b847cc85f4f7e733b2746c6efb02dd8,UR-20-5p1-sc2009.cnf,sat,sat,19.332,442.62
0b8d274c5bf66683cbdd1238771b31f5,queen8-8-9.cnf,sat,sat,2.505,0.511
0b9c26a4c70242841fad1868c266dc9c,Eternity-10-05_c18.cnf,sat,sat,3.68,1.594
