hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
9a85720c365680d985924c786fabad81,newpol29-4.cnf,unsat,unsat,3096.493,1059.582,64.661,184.499,1250.501,10000.0
9a910a91c04c8626904f860e09aa74a3,mp1-klieber2017s-2000-022-eq.cnf,unsat,unsat,3542.072,3543.068,77.823,278.549,3576.167,2300.856
9a9827b82f6ff4fd887f0ada83dd2eab,dodecahedron.shuffled-as.sat03-1429.cnf,unsat,unsat,1.083,0.559,0.667,0.044,1.245,3.042
9a9e21318977d18e1d51a744adc7d854,urquhart2_25bis.shuffled.cnf,unsat,unsat,0.722,1.993,0.667,0.049,2.099,10000.0
9b5f767eb5c14eb888d51acf70e045c8,uniqinv40prop.cnf,unsat,unsat,109.296,2727.716,119.545,74.613,10000.0,10000.0
9b81119141db098dd4bfb24a1d244e68,Kakuro-easy-051-ext.xml.hg_4.cnf,unsat,unsat,4221.236,2908.677,845.445,495.095,10000.0,10000.0
9b9be379792c3a6014d9f55e2b693284,mp1-ps_5000_21250_3_0_0.8_0_1.50_4.cnf,unsat,unsat,320.457,109.285,16.684,142.843,2945.656,250.873
9ba26d82f21d9e989dd0d0a9643c1902,crafted_n10_d6_c3_num3.cnf,unsat,unsat,177.251,124.696,54.781,1762.614,10000.0,567.839
9bc37d0882553cff4e71a5931f5b0624,ibm-2004-3_02_1-k95.cnf,unsat,unsat,25.89,34.14,1.472,2.471,5.528,21.922
9c20fada8bf1fa54b8f49dc69080bf3f,jkkk-random-132906006204477-10-10-32-OR-unsat.cnf,unsat,unsat,43.165,82.771,59.829,439.827,10000.0,96.551
9c316037cfb9b13a7d3ee28dcbace69a,iso-icl006.shuffled-as.sat05-2731.cnf,unsat,unsat,1.943,2.307,1.168,0.706,2.693,7.242
9c34300615109a8f111055a9b48c13d6,rope_0009.shuffled.cnf,unsat,unsat,0.252,1.139,81.213,0.092,1.151,4.982
9c3d41761f7044b5a48618886b3e987a,6s137.cnf,unsat,unsat,10000.0,10000.0,616.706,743.147,10000.0,10000.0
9c82b5ba37a92ea9156ded907b1ab588,VanDerWaerden_pd_2-3-23_507.cnf,unsat,unsat,1338.723,2935.113,59.82,1984.662,10000.0,573.88
9c8430677e4412a76fb4639d74ddae03,am_4_4.shuffled-as.sat03-360.cnf,unsat,unsat,3.22,1.493,0.767,0.317,1.596,1.546
9ce54aec1ffdf56e1edc0d8b5718db08,6s168-opt.cnf,unsat,unsat,34.201,71.404,2.671,9.532,29.073,14.779
9cf87c9798f4ffe885f2de05503d28fc,SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,unsat,unsat,1175.244,3832.6,136.163,3610.91,10000.0,2188.042
9d1dcde4b42f234483eaea05985cbf57,SGI_30_80_18_80_2-log.shuffled-as.sat03-192.cnf,unknown,unsat,10000.0,10000.0,1128.817,10000.0,10000.0,10000.0
9d474975d3439f742f354b2880bb7dcc,jgiraldezlevy.2200.9086.08.40.46.cnf,unsat,unsat,1833.674,10000.0,70.024,711.579,10000.0,218.885
9d73ad6f2f61eb0dd300296a497565a4,c10n.cnf,unsat,unsat,57.709,63.093,15.778,27.878,106.878,99.371
9d7caee59e9d362d132f1cd785de8a0b,ncc_none_21015_5_3_3_0_0_11.cnf,unsat,unsat,671.561,10000.0,391.868,349.455,10000.0,2591.807
9d800cd639310163c58f19512ed1933d,gensys-icl008.shuffled-as.sat05-3134.cnf,unsat,unsat,64.357,1245.646,15.984,787.587,2651.57,48.894
9ddfe0b6353a77a6e4aa80649f00ddf0,fdmus_b20_240.cnf,unsat,unsat,8.324,2.57,0.668,0.341,3.445,5.217
9df7f45363e2fd8186db17f3a951fccf,ip50.shuffled-as.sat03-434.cnf,unsat,unsat,32.867,35.04,3.674,3.433,54.467,29.294
9e00c92405a069aa55e2ebe4262eca9e,f10id.cnf,unsat,unsat,790.663,546.779,186.831,155.972,410.713,10000.0
9e16ae667bb49240f6209492c7f4038e,12pipe_k.cnf,unsat,unsat,10000.0,10000.0,292.025,1807.45,4124.674,10000.0
9e272266139445d23331ff680f22ecfa,mp1-blockpuzzle_5x10_s2_free5.cnf,unsat,unsat,539.382,1390.601,39.899,410.213,3733.596,10000.0
9e35558ea8ffba630cd8c8f90e14af14,string_compare_safety_cbmc_unwinding_730.cnf,unsat,unsat,10000.0,2915.311,586.309,1336.208,2089.674,10000.0
9e356de6253c901fe95f82ac89fa6032,peb-pyrofpyr-11-neq-3_shuffled.cnf,unsat,unsat,390.935,335.761,28.497,30.454,108.267,163.495
9e5f1150366388e2114586f3f94c57bf,rnd-v25-e122-k12.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9e82e8deb951f28be88ea3a7dee59ce3,g2-T65.2.0.cnf,unsat,unsat,276.298,685.224,230.36,236.261,10000.0,1753.553
9e846d0ed491ae2620410eecbb3096c7,crafted_n10_d6_c3_num5.cnf,unsat,unsat,165.0,272.858,45.125,1506.576,932.175,795.786
9e95d307a750dbd52374a2f94817e0a1,g2-T154.1.0.cnf,unsat,unsat,220.78,323.996,2346.314,199.876,10000.0,845.895
9eac581d9c5da21697ed9df49bd4d71b,ACG-20-5p0.cnf,unsat,unsat,706.406,672.154,69.634,108.307,524.458,491.052
9ebc0c41ca8b23d18cb4dfc1f5efc7ec,sgen3-n160-s73223945-unsat.cnf,unknown,unsat,10000.0,10000.0,1.49,10000.0,10000.0,10000.0
9ebe01fac83633665d51bcf623a9f1eb,rook-46-1-1.cnf,unsat,unsat,2390.995,2195.268,3394.14,153.107,4487.287,272.652
9f103bae33a5e3d957fccbb41e208d16,mp1-rubikcube512.cnf,unknown,unsat,10000.0,10000.0,432.721,10000.0,10000.0,1625.102
9f11ac31272b8827a7bcd477505fe4be,E03N15.cnf,unsat,unsat,3.511,6.563,0.868,0.466,2.512,5.344
9f418fa793e7b1e57a6d56e5aa6d7145,smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,unsat,unsat,411.481,967.587,23.492,16.611,1918.387,202.587
9fb9108b6d453f9f207af7f8e7e7ee86,f6nidw.cnf,unsat,unsat,97.452,171.112,20.713,11.263,143.616,126.122
9fbd4006b59d698ade096cbb789e0d71,x1_96.shuffled-as.sat03-1597.cnf,unknown,unsat,10000.0,10000.0,0.867,10000.0,10000.0,3.965
9fe3775c77204cafc0062c40d59eedd7,SGI_30_60_20_50_3-log.shuffled-as.sat03-115.cnf,unknown,unsat,10000.0,10000.0,835.892,10000.0,10000.0,10000.0
9fe544f62327a70e5650ee2903a2776c,rope_0100.shuffled.cnf,unsat,unsat,14.921,22.897,1.972,1.138,6.612,1.489
a03161dfe27323ee20614f27d8a803db,s57-100.cnf,unsat,unsat,26.213,10.123,0.664,2.715,6.3,9.861
a0585897e79756b9624673592d13ee06,spg_200_317.cnf,unsat,unsat,374.678,3980.809,111.462,131.522,2172.701,552.336
a0a02734f58841e2123991993cb888b3,rphp5_075_shuffled.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
a0a54d2adcf2360e6f19a8d12902aed4,rbsat-v945c61409g6.cnf,unsat,unsat,2708.52,10000.0,72.122,2796.278,10000.0,2817.327
a0ad1f5449d31a1413d7cb8195c3df71,Problem14_label48_true-unreach-call.c.cnf,unsat,unsat,629.353,535.228,46.15,142.377,511.11,10000.0
a0b76f95482dd0f2d575b8859c7bc549,hwb-n20-02-S1178225014.shuffled-as.sat03-1608.cnf,unsat,unsat,107.051,39.108,2.867,41.663,48.249,32.623
a0bd1bde8e9878deb48c442790160c50,phnf-size10-exclusive-philips.used-as.sat04-301.shuffled-as.sat05-4190.cnf,unsat,unsat,2365.372,10000.0,146.49,2685.801,10000.0,10000.0
a1084b11d2004093a0aa6ec19fa2a4e4,fifo8_100.shuffled.cnf,unsat,unsat,25.468,42.464,2.068,1.818,32.152,27.426
a10baff3404f88a88e98f2f4237d8432,unsat-pbl-00250.sat05-1330.reshuffled-07.cnf,unsat,unsat,36.052,28.891,1.078,0.436,8.769,6.408
a130a3f95891daed1bfd71c77bd2d8a1,SAT_dat.k80.cnf,unsat,unsat,674.333,1881.694,37.398,55.948,412.419,394.791
a138136cb0b96c0245b38b48aa37c277,homer13.shuffled.cnf,unsat,unsat,138.264,112.88,0.673,192.628,2650.277,35.243
a13ab802fc36bd27ffa61ec561ec6c47,ss_8.cnf,unsat,unsat,2082.271,245.805,38.798,96.46,244.284,326.587
a14c75743148ed4b79747a65736b4c91,cube-11-h13-unsat.cnf,unsat,unsat,1357.162,1005.384,700.233,215.922,3028.13,1102.474
a1a1ef11ed37187bb62f1772d659f1f4,fdmus_b15_303.cnf,unsat,unsat,14.548,1.799,0.874,1.245,17.202,8.241
a1a849de5a74ba44f7afe48cf0a057e3,manol-pipe-g10id.cnf,unsat,unsat,250.735,69.346,15.088,12.386,38.795,10000.0
a1b36f4dc604f0f4149c7a0f545e50fb,eqbpdtlf14bpwtcl14.cnf,unsat,unsat,455.354,351.176,11.077,74.044,10000.0,138.152
a1e216cb19bc64a073cf423340f42f69,atco_enc2_opt2_20_11.cnf,unsat,unsat,1096.307,4539.238,75.614,680.444,10000.0,2220.999
a1ec978756e656638b7e34cef5ecaf6d,quad_res_r26_m27.cnf,unknown,unsat,1097.952,10000.0,4838.871,10000.0,10000.0,10000.0
