hash,benchmark,verified-result,claimed-result,BreakID-kissat-noProofLogging.sh,BreakID-kissat-withUNSATCertificates-withProofLogging.sh,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
885c0d25480fe4db3cd5d3b4bc044e76,SCPC-500-17.cnf.xz,unsat,unsat,326.316,340.825,139.207,183.984,172.636,175.595,141.374,1217.25,173.956,343.107,342.839,330.055,344.702,165.548,309.009,162.643,279.811,500.23,263.379,248.683,241.026,145.639,503.74,256.484,240.864,296.873,217.842,331.175,331.182,167.732,180.713,415.08,336.245,336.33,346.143,139.191,141.979,292.643,293.496,287.649,156.472,154.047,189.825,153.954,373.168,153.219,145.162,151.748,180.942,344.39,326.6,273.852
889b6d29998ade866e64c46f807a98bc,6s320rb1_Iter9.cnf.xz,sat,sat,342.454,111.578,66.9744,227.687,238.467,274.439,172.893,10000.0,167.806,326.339,303.606,227.91,315.189,353.189,2137.28,206.294,1351.89,1885.93,2184.17,1551.69,1427.18,390.287,670.616,1445.6,571.72,587.098,278.626,521.757,353.914,232.809,296.43,311.447,458.921,349.254,494.131,203.224,217.538,175.227,736.212,400.36,158.907,173.542,362.679,481.352,449.546,144.912,388.793,212.671,411.633,333.82,333.343,1287.29
88bfa72210baef40a2903d95044dc19d,linked_list_swap_contents_safety_unwind40.cnf.xz,unsat,unsat,1888.54,1746.7,379.255,340.341,340.31,294.795,561.967,44.0574,559.685,334.18,79.449,79.3257,79.4558,591.995,59.4429,374.744,324.06,887.852,225.122,315.213,382.579,485.839,258.222,488.388,457.453,197.746,318.346,27.4708,27.6431,685.727,441.25,68.0328,65.864,321.468,131.417,107.721,88.2709,44.6761,28.5965,43.3472,221.925,296.128,579.621,292.718,59.5811,349.538,409.096,148.43,678.2,110.952,105.137,54.8796
8bb5819a23a8f1dff851d608bec008ca,ITC2021_Late_6.xml.cnf.xz,sat,sat,120.493,100.008,39.3672,114.948,95.9541,32.5031,37.0251,1577.97,32.4318,42.6167,86.2767,94.2542,129.877,160.28,101.856,12.9828,66.6512,159.961,75.6067,109.921,75.4508,152.642,79.8123,371.341,259.88,229.554,311.56,52.7954,137.657,44.7652,45.4389,78.8331,74.974,84.4091,150.187,1224.49,319.595,10000.0,120.292,54.1086,67.8801,173.276,57.6927,116.481,79.9638,15.9397,13.0015,146.407,69.312,45.3111,20.4505,65.7444
8bfbffbfea9e5a5993bc024f39adff84,worker_40_80_40_0.85.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0959,10000.0
8c0af30cc2a89e3fee97852633bed956,div_miter_lec_1.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
8c8b72ac19c0f93813b614a18abaf512,aws-encryption-sdk-c:aws_cryptosdk_keyring_trace_eq.cnf.xz,unsat,unsat,10000.0,10000.0,943.85,837.784,695.125,1188.12,656.738,1859.11,1253.65,720.935,721.908,721.353,799.339,1443.92,772.206,676.529,10000.0,10000.0,1556.72,1536.23,1676.29,1612.49,1686.86,2244.37,2207.16,1725.01,1949.64,10000.0,10000.0,911.372,762.891,817.481,803.453,796.153,1490.08,935.873,788.621,865.588,940.62,663.381,1280.74,1407.95,1420.9,1697.93,799.742,1219.32,1190.21,1032.94,1364.99,669.977,839.179,1408.94
8e659f42dd85a193fccc9cbbcc4627ed,sum_of_three_cubes_3_unknown_representation.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
8efdd60faa21ddcace492bff0479408b,Break_triple_20_54.xml.cnf.xz,unknown,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
8f3d4a4fedf4689ae0e6df362478d551,PancakeVsSelectionSort_7_6.cnf.xz,unsat,unsat,4196.17,4446.54,3661.67,4277.4,4256.13,3537.07,4338.19,10000.0,3237.55,3829.88,3392.54,3763.48,3223.6,3063.39,1778.46,3807.99,10000.0,2655.45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1884.88,1705.93,3610.01,3707.85,3345.2,3183.6,3165.02,3631.59,10000.0,3339.55,4246.84,1905.61,3358.6,10000.0,2568.83,3286.64,2872.26,3722.7,2096.64,2318.15,2415.11,3374.43,3721.47,2827.99,2289.57
