hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
3d2a6e5c2f8f58dee79fd50444009625,cfi-rigid-z2-0088-03-or_2_shuffle_all.cnf.xz,unsat,unsat,1617.47,1440.07,1663.05,1569.0,1834.4,372.161,660.104,441.809,710.664,712.604,712.598,611.404,740.843,1706.73,933.981,443.285,973.365,861.1,953.224,853.106,1472.43,857.628,898.038,860.914,887.785,1346.29,1305.28,1528.41,1731.34,1090.04,507.507,643.655,851.288,401.032,865.12,269.882,374.767,525.607,829.164,733.92,1270.11,1260.61,368.362,640.158,682.71,631.751,734.403,360.031,652.632,1204.88
3d2b0088dccf11d1f82c89b7122c26e1,cfi-rigid-z2-0088-01-or_2_shuffle_all.cnf.xz,unsat,unsat,1280.09,1268.77,1151.84,1408.15,1262.61,203.89,631.689,267.288,416.196,396.698,417.706,543.624,656.466,1457.74,957.02,366.442,988.712,911.758,846.427,959.341,1281.91,887.585,867.54,862.517,883.623,1594.68,1680.75,1376.44,1492.93,474.65,443.033,488.456,851.321,729.44,833.422,379.303,264.328,470.36,671.136,403.514,1045.23,1178.42,447.267,596.913,620.535,450.439,642.312,423.443,324.904,1460.14
3d4beaebb3d87819ce9ff59e72047ef7,sudoku-N30-20.cnf.xz,unsat,unsat,3553.96,3774.45,3763.7,3876.91,10000.0,10000.0,10000.0,2669.91,2541.05,2596.65,2622.29,10000.0,10000.0,3426.23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3890.78,3934.86,3271.38,3760.66,2528.21,2611.34,2683.12,10000.0,4073.75,4091.08,2549.77,10000.0,2080.02,4667.74,10000.0,10000.0,10000.0,2507.31,4772.83,10000.0,10000.0,10000.0,2704.38,2731.36,10000.0
3fb045f58aaf394165735c39c49fad92,linked_list_swap_contents_safety_unwind56.cnf.xz,unsat,unsat,1165.08,849.707,1154.57,1104.16,1433.74,50.3524,1264.56,83.5826,82.5328,82.388,82.3027,1254.15,194.365,974.995,10000.0,2272.78,668.672,673.068,860.969,955.424,575.336,1138.15,1147.12,675.792,724.215,78.8871,175.185,1147.17,932.424,240.75,143.036,247.222,487.643,258.541,412.576,79.7545,71.8416,86.5618,1352.69,1056.58,1534.51,1042.67,164.274,767.013,256.833,587.051,467.35,198.166,227.237,250.492
3ff263696219ca9e301b0a1b345eb9aa,SCPC-500-4.cnf.xz,unsat,unsat,65.3793,76.2806,85.3248,64.6071,61.0676,390.304,74.0189,176.522,174.174,174.038,177.175,61.6297,119.408,71.2131,142.667,185.022,137.333,149.862,131.02,117.862,219.366,205.609,145.378,162.41,150.389,151.447,152.256,64.7552,85.139,143.143,156.92,163.826,161.355,101.48,59.2283,162.455,107.489,126.262,63.0873,67.3446,71.8396,75.7802,161.826,56.6084,64.6705,61.2878,89.1578,167.36,200.036,146.495
41423c03ef173a5b81d6e6776f316fa5,PancakeVsInsertSort_7_8.cnf.xz,unsat,unsat,1447.75,2262.79,2004.06,2090.9,1756.89,10000.0,1667.13,1977.6,2270.26,1990.61,1980.13,1962.59,10000.0,1488.26,10000.0,4254.76,10000.0,10000.0,10000.0,4525.33,10000.0,10000.0,10000.0,10000.0,10000.0,1111.22,1091.91,1383.69,1621.34,1935.92,1713.9,1881.9,2177.06,1730.82,1305.95,951.897,4886.52,1574.59,2265.54,1494.13,1683.59,1668.81,1818.79,1392.12,1404.72,1332.82,1945.55,2241.84,1927.07,10000.0
4348c6b9af237291558b154a9de82969,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_aad.cnf.xz,unsat,unsat,2095.62,2787.83,2364.67,2372.87,2708.58,10000.0,1385.14,2004.83,1774.58,1675.85,1687.41,1680.54,1845.33,2166.53,10000.0,10000.0,1926.81,1785.51,1569.49,1461.09,4953.7,2031.73,1876.14,1579.74,1370.28,4518.27,4858.23,3159.42,2679.9,1600.38,1748.06,1630.14,1674.38,2068.11,2232.65,1788.79,2275.77,1595.09,1939.46,1514.69,1958.65,1871.68,1893.99,1622.53,1526.75,1754.53,1945.21,1748.99,1707.26,2143.5
43687a48fb119ca61b47c2fc69a71e7d,manthey_single-ordered-initialized-w42-b8.cnf.xz,unsat,unsat,187.69,246.5,230.718,178.36,256.346,587.409,250.098,262.217,260.899,262.099,263.36,210.643,234.663,215.414,217.011,270.188,245.21,227.072,248.312,232.1,296.613,207.668,214.066,193.537,200.202,260.697,254.333,206.367,194.655,243.956,256.142,242.331,134.24,161.967,184.472,191.633,222.389,234.203,231.97,228.521,226.261,243.388,270.898,212.397,194.672,222.986,280.409,248.768,234.701,244.645
436d00b6d41912e800e9855d08c75139,manol-pipe-f7nidw.cnf.xz,unsat,unsat,38.0336,41.5266,41.3521,28.8969,43.146,348.772,76.777,37.254,38.435,36.0222,36.026,76.5733,35.215,35.9997,115.272,467.75,103.226,104.801,103.217,65.665,86.7552,76.2665,79.5671,53.9865,66.1248,28.1013,28.4263,43.6031,42.9004,38.6804,34.5778,31.8321,30.9098,38.5615,37.8687,32.7502,42.3888,33.6792,73.2372,76.8392,78.1059,78.1996,32.0889,60.7459,54.1488,54.1499,73.2767,39.1941,32.6847,70.8756
4408f3ebfc37275a23ef57cfcc8aba6d,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_content_type.cnf.xz,unsat,unsat,554.129,705.675,892.666,438.402,532.925,2192.05,598.322,528.521,472.906,504.41,503.181,728.899,560.905,442.729,458.212,10000.0,412.249,342.665,324.089,614.795,835.646,514.987,590.159,357.318,351.728,494.212,497.974,458.983,574.883,529.272,386.646,377.287,245.112,484.598,483.929,385.06,318.544,301.561,562.371,904.727,612.048,646.783,508.288,559.393,941.966,426.884,665.237,679.084,974.404,637.246
