hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
704097be50e430aeef935541e62f7ecd,mod2c-rand3bip-sat-180-2.shuffled-as.sat05-2429.cnf.xz,sat,sat,2.06569,2.04057,9.97466,1.76984,15.2848,5.56807,1.68625,1.68639,1.68807,5.35857,20.9821,29.6363,11.3405,4.47975,9.0071,8.14601,14.8299,1.7101,3.78419,5.11918,2.92417,7.28959,23.0635,5.12225,3.25163,1.51111,1.71637,3.24089
7042dbc5432e4d78f81ec4041e10a387,mp1-blockpuzzle_9x9_s1_free8.cnf.xz,sat,sat,521.519,1634.07,4717.25,324.92,10000.0,121.405,686.943,631.006,1224.31,351.454,2.65488,184.423,10000.0,1159.93,376.863,60.1775,324.489,540.952,543.005,24.7917,2349.92,10000.0,565.412,38.7144,482.991,1344.38,105.397,10000.0
705f6075b27775e03daf6e8d781cb953,shift1add.28943.cnf.xz,unsat,unsat,29.2105,29.2182,40.9694,19.3804,1496.89,16.7842,16.3893,16.2038,16.1571,24.6829,10000.0,10000.0,10000.0,10000.0,10000.0,5.52892,29.6861,14.4009,17.6833,580.739,955.35,22.6513,22.0624,19.4792,23.3283,26.3831,10.6795,14.8621
705fa7d68c47bb31cfc3f23735f36785,sted1_0x0-330.cnf.xz,sat,sat,157.615,187.968,182.89,207.555,1070.24,178.566,145.043,498.164,191.069,365.438,262.234,276.463,247.048,209.257,232.543,182.97,207.594,438.345,186.964,310.313,254.49,250.248,202.198,192.695,87.5752,156.356,302.491,383.078
70628bc527228ff61fc0ebfc3a6ff20f,4g_5color_170_060_05.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
707f23c84c45b87e05296869034e6dfd,factoring29986577x29986577.cnf.xz,sat,sat,156.592,104.72,261.366,663.158,3131.2,31.565,479.661,120.988,217.115,150.094,201.113,145.423,430.403,205.52,51.0431,458.771,943.33,94.386,240.147,1286.16,436.609,98.4024,141.416,124.619,120.064,30.3857,386.356,271.344
7083b70c1976162e2693d7a493717ffd,battleship-14-26-sat.cnf.xz,sat,sat,902.066,5.84812,247.208,3.9595,20.1832,175.332,173.116,219.887,172.905,87.45,0.016522,0.068246,2031.19,0.034107,0.034236,49.6049,0.0614,169.768,71.8977,0.064391,425.198,482.533,0.943785,0.950354,12.0454,0.167117,544.422,292.813
708cf84971c0919fd60b0b2acdee4fc8,rbsat-v1375c111739g6.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
708e12bf9d10d6fbfd329fbb21aaf2e4,rphp5_095_shuffled.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
70903c09156674cc1b0c35794cfe3d06,20-100-lambda100-14_unsat.cnf.xz,unsat,unsat,66.1753,58.2932,86.145,74.7201,245.22,69.7977,97.9785,64.1617,71.4619,115.184,107.622,119.377,99.8452,85.4118,89.3423,122.33,64.31,99.1283,67.8585,71.7651,69.9801,100.745,127.319,108.315,105.447,104.778,98.1458,112.361
709902883991ae1fb3b83a7e64330816,manol-pipe-f9n.cnf.xz,unsat,unsat,39.0376,77.7347,32.0968,33.9115,952.139,31.2456,30.2337,31.0436,31.1585,57.1693,353.998,357.857,167.987,289.386,232.254,31.887,38.0166,32.6952,34.0582,135.4,32.2343,34.2228,65.7304,71.194,57.2824,51.1493,33.5257,47.1251
709d0994d0c356b339b051a8e62d998a,bv-term-small-rw_206.smt2.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
70a6ecc229f6664d3dc2419c6f2dfdd8,le450_25a.col.25.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
70a8711118d4eaf15674ebc71bfb7c35,sted1_0x0_n438-636.cnf.xz,sat,sat,3502.45,3503.79,1303.81,205.16,213.66,138.955,1447.27,1171.04,2194.68,4022.93,409.195,932.609,1517.38,2066.02,2750.13,1373.3,3392.73,995.22,452.909,2558.46,4704.53,3289.18,628.488,3086.34,2276.16,853.075,1398.73,1421.7
