hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
2748e075d4b636ef260271a35302049b,cfi-rigid-t2-0048-01-or_3.cnf,sat,sat,8.411,60.787
27d9905476897885d29cea2744db9805,coreJSON:skipCollection.cnf,sat,sat,46.889,273.722
285cb2c9735ac73cad999fba3d669382,summle_X8634_steps8_I1-2-2-4-4-8-25-100.cnf,sat,sat,4.617,28.216
28b715dd946dba71ddd58a73d9f82c39,pj2005_k80.cnf,sat,sat,162.545,2000.0
294924aff67e879595e55f15b10a79ef,grid-color-12-14-6-cb.cnf,sat,sat,9.597,31.381
2a43c3327fb817d82496449265d6630d,mdp-36-16-unsat.cnf,unknown,unknown,2000.0,2000.0
2c0379771c5313567ea9e230438f203f,reconf20_320_hc-square-2_1.cnf,unsat,unsat,30.637,216.353
2c7cb0ff324a42a0699c23317c97a29a,6s320rb1_Iter8.cnf,unsat,unsat,25.535,836.277
2d01c7744a990469354a3c53cc2727fb,rphp_p95_r95.cnf,unknown,unknown,2000.0,2000.0
2f9cb22859718ab6c201726a91cfefe1,aws-encryption-sdk-c:aws_cryptosdk_priv_try_gen_key.cnf,unsat,unsat,96.374,653.657
30ca21da9753263cc8cda020802b58ce,GP_500_200_20.cnf,sat,sat,25.258,2000.0
3159a02d096424aab6295c76360633a9,SCPC-500-10.cnf,unsat,unsat,4.404,68.303
3176c9024f756e99dbee852e5c0aa578,Break_triple_12_30.xml.cnf,sat,sat,3.313,37.624
31cc22a0f42ebaa109a5b807eb6178c2,Break_20_54.xml.cnf,sat,sat,2000.0,2000.0
324e19a2991a29d0765ad256fb7aee85,j3037_9_gmto_b.cnf,sat,sat,4.429,668.129
34c2410669b8063d4b0a16a40b071536,sum_of_three_cubes_still_open_large.cnf,unknown,unknown,2000.0,2000.0
351746fa3de2464c903c85e726cfed55,linked_list_swap_contents_safety_unwind67.cnf,unsat,unsat,63.373,583.03
354936f86e55ab8d00e6e1f5f7c140a9,xor_op_n44_d3.cnf,unknown,unknown,2000.0,2000.0
354c2088ae7648e1dc51d12947c8043a,bobsmdct_init_k88.cnf,unsat,unsat,85.882,2000.0
35ad744923721e37a2f58443179c31a8,coreMQTT:MQTT_SerializeConnect.cnf,unsat,unsat,66.56,992.04
3666617901c8500d78700dac959729d4,pj2002_k9.cnf,unsat,unsat,60.764,760.448
367c25ad50259a685a25b86d6dd171b2,GP_100_950_33.cnf,sat,sat,30.862,2000.0
36ecf4ba0451f40e4ede9a1b2ab914f7,af-synthesis_stb_50_200_4_sat.cnf,sat,sat,6.723,68.207
372021735d9e46002b862aa2a038a818,j3045_4_rggt_bm1.cnf,unsat,unsat,33.528,735.633
39b3fde35939134f3b011ebb31842610,PancakeVsInsertSort_9_4.cnf,unknown,unsat,216.596,2000.0
3b97191d94abf3a5e97d6359d886d9df,summle_X111121_steps7_I1-2-2-4-4-8-25-100.cnf,sat,sat,11.296,74.016
3cbd82017c4a304c014dd87a69f6028c,bmc_QICE_req_sfl_30.cnf,unsat,unsat,509.859,2000.0
3d2a6e5c2f8f58dee79fd50444009625,cfi-rigid-z2-0088-03-or_2_shuffle_all.cnf,unsat,unsat,24.949,887.725
3d2b0088dccf11d1f82c89b7122c26e1,cfi-rigid-z2-0088-01-or_2_shuffle_all.cnf,unsat,unsat,21.736,442.203
3d449de3d6e722c9ce4a38ec748ee3cf,sudoku-N30-10.cnf,unknown,unsat,231.785,2000.0
3d4beaebb3d87819ce9ff59e72047ef7,sudoku-N30-20.cnf,unsat,unsat,134.499,2000.0
3e2fe1556893706475f9dd19c1a7b8fe,mdp-32-12-sat.cnf,sat,sat,21.223,749.128
