hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
b7f30726f549bf71492647d7e386c1f3,lang23.cnf.gz.CP3-cnfmiter.cnf.xz,unsat,unsat,1511.92,1524.93,3512.69,1208.12,1636.75,166.343,156.467,159.207,154.425,159.417,525.78,1046.75,10000.0,870.842,681.456,345.725,1263.34,169.105,268.043,10000.0,602.772,271.419,172.849,182.1,156.319,10000.0,200.384,205.4
b8322792935eab432e7696e2ca298ff3,gensys-ukn008.shuffled-as.sat05-3351.cnf.xz,unsat,unsat,1608.5,1638.73,1464.62,1105.47,4649.1,1652.7,1773.24,1587.56,1630.14,896.016,915.201,739.621,685.893,867.827,1223.31,1774.84,1697.9,1551.59,1763.39,1440.16,1280.91,1053.16,1306.68,948.202,1081.11,1046.46,1502.32,985.598
b83b05e814486aaedb19da69fb35ece1,satch2ways14u.cnf.xz,unsat,unsat,258.322,226.752,1237.29,231.446,2770.62,1696.86,1833.6,1357.07,1522.54,902.079,1304.98,885.284,995.715,1219.81,1941.54,1305.56,195.254,1061.88,1192.68,2268.5,711.378,1248.97,797.45,370.778,956.9,1243.31,1446.21,750.355
b861982b17098c52933e65966bbf3b6e,queen14_14.col.14.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,2382.18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,777.834,792.486,10000.0,193.201,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
b862f2dddbc93dabf6a3a6eeca22d468,VanDerWaerden_pd_2-3-22_464.cnf.xz,unsat,unsat,4809.2,10000.0,4028.34,4446.84,10000.0,3071.21,3103.29,3192.47,3089.88,2559.85,4176.76,3244.54,2256.69,10000.0,10000.0,2926.48,4053.45,3109.49,3105.65,3210.82,2896.73,2929.62,2685.51,2557.57,2200.17,2262.21,3038.72,4068.37
b870acb8393c23186e03496a68ef5f24,dimacs.cnf.xz,unsat,unsat,2647.07,2466.01,2703.26,1991.54,10000.0,1860.7,1776.12,2176.15,1733.51,1027.88,1982.47,2273.52,3704.79,2953.7,2686.81,3303.72,2177.62,2114.86,1981.19,10000.0,3662.47,1416.21,3527.87,1098.9,1281.77,1628.88,1567.89,1963.52
b88e0b3619ec7c2931885182b07dbd63,SAT_dat.k85-24_1_rule_2.cnf.xz,unsat,unsat,1704.03,1669.2,1695.39,1648.21,10000.0,1280.44,1196.82,1253.65,1266.75,1417.92,10000.0,10000.0,3265.31,10000.0,10000.0,2198.81,1745.22,1238.84,1218.64,4789.6,1792.43,1265.41,1511.6,1243.72,1119.2,2112.73,1194.5,2226.44
b8debf719be5558b319002cc9c2faf18,barman-pfile10-040.sas.ex.15.cnf.xz,unsat,unsat,116.198,133.166,100.309,146.01,58.0679,99.1296,97.4576,94.19,94.3461,64.6258,10000.0,10000.0,10000.0,10000.0,10000.0,77.9459,83.9127,96.2569,101.528,10000.0,101.343,78.5635,46.1462,57.3099,67.8297,69.3958,98.6012,226.688
b9294b50fd1dee249911d000648c12d8,g2-hwmcc15deep-6s188-k44.cnf.xz,unsat,unsat,2885.23,2486.31,2934.55,2825.6,10000.0,2068.5,2210.51,2291.53,2135.4,3200.39,2737.0,3264.05,1308.47,2268.03,3049.75,2108.57,2282.2,2273.29,2238.06,1555.26,2783.68,2446.31,3316.98,2739.85,2968.47,2598.87,1646.11,2643.66
b96ecf188a906a8b4dd92c3930e28977,sat_prob_23.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2227.96,10000.0,10000.0,3686.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1439.17,907.083,1436.51,4955.88,10000.0
