hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
0336f81b60baac5b8f481dd3c32861a5,mod4block_2vars_10gates_u2_autoenc-sc2009.cnf,sat,sat,4.278,19.7
033743e540b7f6e2114a3e6981558795,li-test4-97.shuffled-as.sat03-375.cnf,unknown,unknown,2000.0,2000.0
033d611722714d5206cc0184479e92e2,urqh2x5.shuffled-as.sat03-1473.cnf,unsat,unsat,2.888,2.341
033f38da07bdbbad4763eaf1fe97ce37,AProVE07-27.cnf,unsat,unsat,14.463,211.931
035c200bbf0a783e4ec9656cfa9b2f68,vmpc_34.shuffled-as.sat05-1958-sc2005.cnf,sat,sat,4.286,51.574
036b541db9d0839b0591d408ff4f77ae,aes_decry_2_rounds.debugged.cnf,unsat,unsat,16.632,173.321
0379936c75c225f1a9a113762b019da6,AProVE09-17.cnf,sat,sat,2.569,5.474
037c423f56548082b1935e88c48ffdda,3col120_5_2.shuffled.cnf,sat,sat,2.276,0.146
037d21e060a2e3eab8b080aa84ceee75,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,sat,sat,2.478,4.704
0398e6b20de133ba8b49c74b67dad7b7,6s133-sc2014.cnf,unsat,unsat,3.094,257.142
039b45f4a3979c9176b115bb8e88342f,genurq8Sat.shuffled-as.sat03-1514.cnf,sat,sat,2.88,0.06
03a1a18521814692f56a8ecbea0031d4,ablmulub2x32o-sc2016.cnf,unsat,unsat,41.593,101.168
03a1ada3e778fcec8a7ee0c9e685d4be,connm-ue-csp-sat-n1200-d-0.02-s1528687777.used-as.sat04-953.cnf,sat,sat,6.503,2000.0
03a43a7ea55217f53542ed3f029963af,satch2ways16w.cnf,unsat,unsat,158.411,2000.0
03b75ba4f3a1bdcc58c89e6846eecaab,x2_128.shuffled-as.sat03-1598.cnf,unknown,unsat,2.282,2000.0
03ba29d5cb38d345357a74a7b5ccd759,20-100-lambda100-49_sat.cnf,sat,sat,9.286,101.843
03bb7baaa45980753a0e7050ae44755d,atco_enc3_opt1_03_53.cnf,sat,sat,25.432,2000.0
03c44a93577c98119dc498053888937a,ctl_4291_567_1_unsat_pre.cnf,unsat,unsat,15.699,2000.0
03c5fef8cb8957ecf687548c8d504d10,SGI_30_80_21_90_2-log.shuffled-as.sat03-198.cnf,unknown,unsat,831.755,2000.0
03c8a9ffce923a8cb3452f18d371eacf,rook-55-0-1.cnf,unsat,unsat,106.455,2000.0
03cb9868146a1c420ba8e3b1b08865b8,3col300_5_2.shuffled.cnf,sat,sat,2.398,0.612
03d1d6df36fdec5be7b60e6f0cd382f7,3col280_5_8.shuffled.cnf,sat,sat,2.277,0.331
03d8064f3be30daecf2ffe4c54361e61,edges-025-4-7932777-1-00.cnf,unsat,unsat,1.993,2000.0
03d93f5c0378205e17260e16e463ac67,TimetableCNFEncoding_5_UNKNOWN-sc2018.cnf,unknown,unknown,2000.0,2000.0
03de316ba1e90305471a3b8620cb9cd7,satsgi-n23himBHm26-p0-q248.cnf,sat,sat,2.368,0.042
03f25e67e52baf9fb1e782026d46c8a8,rope_0003.shuffled.cnf,unsat,unsat,2.273,0.048
03fb9af7b390fe9e0739150ca3410cf0,4g_5color_166_100_02.cnf,sat,sat,38.513,2000.0
04071576275e4113b60c21601b364345,marg2x5.shuffled-as.sat03-1443.cnf,unsat,unsat,2.473,0.121
04121f3fbe313b7046c9f54ac1e26c75,mod3block_2vars_9gates_u2_autoenc.cnf,unknown,unknown,2000.0,2000.0
0412f6f3174dfc4c27ad0b61280cd739,SGI_30_40_30_20_2-dir.shuffled-as.sat05-442.cnf,unsat,unsat,6.475,758.232
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf,unsat,unsat,160.435,2000.0
0415acae197134f9d1cd7bea5ac3f2fd,jgiraldezlevy.2200.9086.08.40.136.cnf,sat,sat,3.675,11.498
041699620802b7ed905f93976ae60bef,longmult9.cnf,unsat,unsat,3.585,4.593
041ef0a56340a623c38e6b9012933624,shuffling-2-s554396412-of-bench-sat04-318.used-as.sat04-598.cnf,unsat,unsat,23.684,268.028
0421d8c1dec913b76dc72d781a864a80,dead-dnd006.shuffled-as.sat05-3112.cnf,unsat,unsat,10.516,121.891
04283728b84c4b0ff6cb44ca4bc4ab65,new-difficult-28-302-26-75.cnf,sat,sat,2.48,2000.0
042846b7b23a617ad1730e9eb2dbdceb,ctl_4291_567_9_unsat_pre.cnf,unsat,unsat,12.601,2000.0
04327b18171b43ff06586707499b97fc,hypercube4.shuffled-as.sat03-1434.cnf,unsat,unsat,2.779,0.138
043f806db615f7a138d4beffe3367c1a,frb45-21-1.used-as.sat04-883.cnf,sat,sat,3.381,73.199
04411a580ede5fd258d84ce872b5f53b,EDP3-50000.cnf,unknown,unknown,2000.0,2000.0
0445a4d6be24882bac0988a055e7f379,unsat-set-a-fclqcolor-20-13-14.sat05-1278.reshuffled-07-sc2007.cnf,unknown,unknown,2000.0,2000.0
0447371bb8a97e8fe5d3cee6de1db766,UTI-20-10p0-sc2009.cnf,unsat,unsat,32.919,841.186
044d27388c142e8e47812d9518e01b2f,shuffling-2-s2123257475-of-bench-sat04-327.used-as.sat04-589.cnf,unsat,unsat,4.481,13.512
044eced3d5aac22e0f34ad02071132f7,Q32inK10.cnf,unsat,unsat,4.495,14.334
04557a22f623dcbae86173fced057c99,baseballcover14with25.cnf,unsat,unsat,35.022,129.595
045613366353b062992e68937ca53edf,mrpp_6x6#14_12.cnf,sat,sat,2.595,1.5
0458851a021830f297e5dc3418ece838,g2-T96.1.1.cnf,unsat,unsat,17.321,20.046
0462a0427297f8979588174b502bd044,mod2c-rand3bip-sat-230-1.shuffled-as.sat05-2503.cnf,sat,sat,3.378,51.664
